absTimeISO,relTimeMs,relTimeSec,relTimeMin,timeMs,flow,setpt,temp,bubble,volt,on,errorPct,pidOut,P,I,D,pGain,iGain,dGain,filteredErr,currentAlpha,totalVolume,userStable
2025-05-09T15:58:27.519456,79.47516441345215,0.07947516441345215,0.0013245860735575357,235159,0.061,0.5,26.97,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26475112056167516,False
2025-05-09T15:58:27.809333,369.3528175354004,0.3693528175354004,0.006155880292256674,235449,0.014,0.5,27.19,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26481875866834015,False
2025-05-09T15:58:28.099239,659.2583656311035,0.6592583656311035,0.010987639427185059,235738,0.049,0.5,27.43,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2650555141733484,False
2025-05-09T15:58:28.387288,947.307825088501,0.947307825088501,0.015788463751475017,236028,0.462,0.5,27.17,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26727349917337023,False
2025-05-09T15:58:28.676563,1236.5822792053223,1.2365822792053223,0.020609704653422038,236317,0.497,0.5,26.87,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269669657110035,False
2025-05-09T15:58:28.967071,1527.090311050415,1.527090311050415,0.025451505184173585,236607,0.499,0.5,26.75,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27208570948836974,False
2025-05-09T15:58:29.259746,1819.7658061981201,1.8197658061981201,0.030329430103302003,236896,0.499,0.5,26.62,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2745197765983037,False
2025-05-09T15:58:29.547449,2107.468843460083,2.107468843460083,0.03512448072433472,237186,0.5,0.5,26.72,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2769173157650324,False
2025-05-09T15:58:29.837959,2397.9780673980713,2.3979780673980713,0.03996630112330119,237475,0.499,0.5,26.68,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2793333939249881,False
2025-05-09T15:58:30.124869,2684.8888397216797,2.6848888397216797,0.044748147328694664,237765,0.502,0.5,26.6,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28173388095166607,False
2025-05-09T15:58:30.413824,2973.8430976867676,2.9738430976867676,0.049564051628112796,238054,0.5,0.5,26.65,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28414183178503316,False
2025-05-09T15:58:30.703259,3263.2789611816406,3.2632789611816406,0.05438798268636068,238344,0.5,0.5,26.58,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28655379678495246,False
2025-05-09T15:58:30.993341,3553.3607006073,3.5533607006073,0.059222678343454994,238633,0.281,0.5,26.73,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287912348889995,False
2025-05-09T15:58:31.283055,3843.0747985839844,3.8430747985839844,0.06405124664306641,238923,0.073,0.5,26.85,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28826483413499243,False
2025-05-09T15:58:31.573076,4133.095502853394,4.1330955028533936,0.06888492504755656,239212,0.019,0.5,27.01,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2883566737383254,False
2025-05-09T15:58:31.862868,4422.887563705444,4.422887563705444,0.07371479272842407,239502,0.007,0.5,27.23,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28839048283999186,False
2025-05-09T15:58:32.151496,4711.515665054321,4.711515665054321,0.07852526108423868,239791,0.138,0.5,27.33,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2890543283899886,False
2025-05-09T15:58:32.441715,5001.734972000122,5.001734972000122,0.08336224953333536,240081,0.178,0.5,27.26,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2899153120166665,False
2025-05-09T15:58:32.730140,5290.159225463867,5.290159225463867,0.08816932042439779,240370,0.181,0.5,27.13,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2907853907816596,False
2025-05-09T15:58:33.019114,5579.133033752441,5.579133033752441,0.0929855505625407,240660,0.181,0.5,27.12,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29165713082499317,False
2025-05-09T15:58:33.310242,5870.261907577515,5.870261907577515,0.09783769845962524,240949,0.18,0.5,27.06,False,0.0,False,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29253051662499824,False
